par_state,par_county,kid_race,par_pctile,shrunk_xkid_brcbalance2020,county_name
1,61,Black,25,2110,Geneva
1,61,Black,50,3106,Geneva
1,61,Black,75,4102,Geneva
1,63,Hispanic,25,2370,Greene
1,63,Pooled,25,2452.934272300469,Greene
1,63,Hispanic,75,2438,Greene
1,63,Hispanic,-9,2404,Greene
1,63,White,-9,4245,Greene
1,63,White,50,4245,Greene
1,63,White,25,3459,Greene
1,63,White,75,5031,Greene
1,63,Black,75,4983,Greene
1,63,Hispanic,50,2404,Greene
1,63,Black,50,3680,Greene
1,63,Pooled,75,4479.410256410257,Greene
1,63,Black,-9,2579.407766990291,Greene
1,63,Black,25,2377,Greene
1,63,Pooled,-9,2766.555555555556,Greene
1,63,Pooled,50,3466.172264355363,Greene
1,65,Hispanic,25,3364,Hale
1,65,Pooled,50,3339.118881118881,Hale
1,65,White,50,3976,Hale
1,65,White,25,3217,Hale
1,65,White,75,4735,Hale
1,65,Black,50,2818.5,Hale
1,65,Pooled,25,2225.692307692308,Hale
1,65,Hispanic,75,3616,Hale
1,65,Pooled,75,4452.545454545455,Hale
1,65,Black,25,1896,Hale
1,65,Hispanic,-9,3490,Hale
1,65,Black,75,3741,Hale
1,65,Hispanic,50,3490,Hale
1,65,White,-9,4026.6,Hale
1,65,Pooled,-9,2788.804597701149,Hale
1,65,Black,-9,2035.245283018868,Hale
1,67,Black,25,2040,Henry
1,67,Hispanic,-9,3449.5,Henry
1,67,Pooled,25,2964.304964539007,Henry
1,67,White,50,4384.5,Henry
1,67,White,75,4782,Henry
1,67,Hispanic,75,3916,Henry
1,67,Hispanic,25,2983,Henry
1,67,Black,-9,2206.333333333333,Henry
1,67,Pooled,-9,3509.868544600939,Henry
1,67,Pooled,50,3771.284426713948,Henry
1,67,White,25,3987,Henry
1,67,White,-9,4365.266129032259,Henry
1,67,Black,50,2788.5,Henry
1,67,Pooled,75,4578.263888888889,Henry
1,67,Hispanic,50,3449.5,Henry
1,67,Black,75,3537,Henry
1,69,Pooled,75,5560.236124176858,Houston
1,69,White,25,3602,Houston
1,69,AIAN,25,3067,Houston
1,69,White,50,4665,Houston
1,69,AIAN,-9,3399.5,Houston
1,69,Hispanic,-9,4300.5,Houston
1,69,Hispanic,25,2869,Houston
1,69,Hispanic,50,4505,Houston
1,69,Black,50,2992.5,Houston
1,69,Asian,25,5596,Houston
1,69,Asian,-9,4922.5,Houston
1,69,AIAN,50,3399.5,Houston
1,69,White,75,5728,Houston
1,69,Black,25,1940,Houston
1,69,Black,-9,2251.350482315112,Houston
1,69,Pooled,-9,4107.137510513036,Houston
1,69,White,-9,4784.508875739645,Houston
1,69,AIAN,75,3732,Houston
1,69,Asian,50,4922.5,Houston
1,69,Black,75,4045,Houston
1,69,Pooled,50,4246.369773115045,Houston
1,69,Pooled,25,2932.503422053232,Houston
1,69,Asian,75,4249,Houston
