FIPS,County,Social Capital and Community Score
13231,"Pike, Georgia",44.017494902280745
36083,"Rensselaer, New York",44.0116264600637
13183,"Long, Georgia",43.988026892566765
31169,"Thayer, Nebraska",43.96904935847021
46077,"Kingsbury, South Dakota",43.966590164879506
22063,"Livingston, Louisiana",43.95869734673058
12011,"Broward, Florida",43.95183066148816
36047,"Kings, New York",43.94088333462406
48139,"Ellis, Texas",43.92443751935299
16081,"Teton, Idaho",43.916718039751565
29019,"Boone, Missouri",43.862685140762785
20149,"Pottawatomie, Kansas",43.84394999629039
36069,"Ontario, New York",43.828727246843115
55095,"Polk, Wisconsin",43.81853760197789
51053,"Dinwiddie, Virginia",43.815478832831275
49017,"Garfield, Utah",43.8138504147894
20193,"Thomas, Kansas",43.779790313322124
26099,"Macomb, Michigan",43.771614142030316
30049,"Lewis and Clark, Montana",43.75857668164429
32031,"Washoe, Nevada",43.75526226176291
25009,"Essex, Massachusetts",43.74627830238461
29077,"Greene, Missouri",43.74144938853565
29099,"Jefferson, Missouri",43.703667226742596
20095,"Kingman, Kansas",43.683475610738455
31121,"Merrick, Nebraska",43.67820960608459
19153,"Polk, Iowa",43.6617519160728
16005,"Bannock, Idaho",43.63115363018535
50027,"Windsor, Vermont",43.62660392184745
27093,"Meeker, Minnesota",43.61953877445956
27085,"McLeod, Minnesota",43.61366737335196
53057,"Skagit, Washington",43.59776470927548
46087,"McCook, South Dakota",43.58911423425854
31101,"Keith, Nebraska",43.54744825315127
31027,"Cedar, Nebraska",43.53958793601468
6055,"Napa, California",43.52847550819122
6089,"Shasta, California",43.51004941375602
49025,"Kane, Utah",43.50776319559922
20181,"Sherman, Kansas",43.50669067791472
29189,"St. Louis County, Missouri",43.48959768831831
26087,"Lapeer, Michigan",43.45969457797114
56025,"Natrona, Wyoming",43.448790476917466
32003,"Clark, Nevada",43.442892902124235
13047,"Catoosa, Georgia",43.41916164364759
20041,"Dickinson, Kansas",43.41054840751005
56045,"Weston, Wyoming",43.4033518324781
37053,"Currituck, North Carolina",43.37186413486534
51113,"Madison, Virginia",43.35524032062575
40093,"Major, Oklahoma",43.345884952832186
39051,"Fulton, Ohio",43.34433244165732
48059,"Callahan, Texas",43.32986195741565
38077,"Richland, North Dakota",43.321583244334875
26067,"Ionia, Michigan",43.31465229132398
55063,"La Crosse, Wisconsin",43.296633414761814
22103,"St. Tammany, Louisiana",43.27613458647041
19191,"Winneshiek, Iowa",43.26765027738422
12089,"Nassau, Florida",43.259807706998075
21215,"Spencer, Kentucky",43.24443046581655
48493,"Wilson, Texas",43.23914655203406
20031,"Coffey, Kansas",43.23250617920908
12057,"Hillsborough, Florida",43.23113412355934
8077,"Mesa, Colorado",43.21097767344918
6035,"Lassen, California",43.20991572497412
24041,"Talbot, Maryland",43.20252156541114
2130,"Ketchikan Gateway, Alaska",43.20100854104588
48175,"Goliad, Texas",43.18883926623628
17155,"Putnam, Illinois",43.187456477376244
29063,"DeKalb, Missouri",43.16235478196502
19015,"Boone, Iowa",43.15437282116862
27147,"Steele, Minnesota",43.12041366653922
56033,"Sheridan, Wyoming",43.114579003710276
18109,"Morgan, Indiana",43.04648439142642
19019,"Buchanan, Iowa",43.0178193201795
26081,"Kent, Michigan",43.00752848922831
48281,"Lampasas, Texas",42.947171505638416
